block,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16,node17,node18,node19,node20,node21
63,1419.2640,647.6499,528.1129,395.9266,378.2174,416.7981,409.8409,431.3449,399.0889,431.3449,419.9605,417.4306,412.3708,416.7981,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,384.5421
64,1419.2640,647.6499,528.1129,539.4974,378.2174,416.7981,409.8409,431.3449,399.0889,431.3449,419.9605,417.4306,412.3708,416.7981,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,384.5421
65,1419.2640,647.6499,528.1129,539.4974,522.4207,416.7981,409.8409,431.3449,399.0889,431.3449,419.9605,417.4306,412.3708,416.7981,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,384.5421
66,1419.2640,647.6499,528.1129,539.4974,522.4207,566.0612,409.8409,431.3449,399.0889,431.3449,419.9605,417.4306,412.3708,416.7981,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,384.5421
67,1419.2640,647.6499,528.1129,539.4974,522.4207,566.0612,543.2922,431.3449,399.0889,431.3449,419.9605,417.4306,412.3708,416.7981,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,384.5421
68,1419.2640,647.6499,528.1129,539.4974,522.4207,566.0612,543.2922,556.5741,399.0889,431.3449,419.9605,417.4306,412.3708,416.7981,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,384.5421
69,1419.2640,647.6499,528.1129,539.4974,522.4207,566.0612,543.2922,556.5741,549.6169,431.3449,419.9605,417.4306,412.3708,416.7981,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,384.5421
70,1419.2640,647.6499,528.1129,539.4974,522.4207,566.0612,543.2922,556.5741,549.6169,565.4287,419.9605,417.4306,412.3708,416.7981,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,384.5421
71,1419.2640,647.6499,528.1129,539.4974,522.4207,566.0612,543.2922,556.5741,549.6169,565.4287,559.7365,417.4306,412.3708,416.7981,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,384.5421
72,1419.2640,647.6499,528.1129,539.4974,522.4207,566.0612,543.2922,556.5741,549.6169,565.4287,559.7365,556.5741,412.3708,416.7981,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,384.5421
73,1419.2640,647.6499,528.1129,539.4974,522.4207,566.0612,543.2922,556.5741,549.6169,565.4287,559.7365,556.5741,550.2494,416.7981,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,384.5421
74,1419.2640,647.6499,528.1129,539.4974,522.4207,566.0612,543.2922,556.5741,549.6169,565.4287,559.7365,556.5741,550.2494,559.7365,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,384.5421
