block,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16,node17,node18,node19,node20,node21
67,671.6838,128.3915,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,673.5812,498.3868,907.5953,540.7624,395.2941,388.3369,382.0122,184.0489,268.8000,420.5929,239.0739,526.2155,576.1807,257.4155
68,671.6838,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,673.5812,498.3868,907.5953,540.7624,395.2941,388.3369,382.0122,184.0489,268.8000,420.5929,239.0739,526.2155,576.1807,257.4155
69,671.6838,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,673.5812,498.3868,907.5953,660.2993,395.2941,388.3369,382.0122,184.0489,268.8000,420.5929,239.0739,526.2155,576.1807,257.4155
70,671.6838,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,790.5882,498.3868,907.5953,660.2993,395.2941,388.3369,382.0122,184.0489,268.8000,420.5929,239.0739,526.2155,576.1807,257.4155
71,671.6838,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,790.5882,498.3868,907.5953,660.2993,395.2941,388.3369,382.0122,184.0489,268.8000,420.5929,437.6696,526.2155,576.1807,257.4155
72,671.6838,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,790.5882,598.3172,907.5953,660.2993,395.2941,388.3369,382.0122,184.0489,268.8000,420.5929,437.6696,526.2155,576.1807,257.4155
73,671.6838,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,790.5882,598.3172,907.5953,660.2993,520.5233,388.3369,382.0122,184.0489,268.8000,420.5929,437.6696,526.2155,576.1807,257.4155
74,671.6838,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,790.5882,598.3172,907.5953,660.2993,639.4278,388.3369,382.0122,184.0489,268.8000,420.5929,437.6696,526.2155,576.1807,257.4155
75,671.6838,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,790.5882,712.1619,907.5953,660.2993,639.4278,388.3369,382.0122,184.0489,268.8000,420.5929,437.6696,526.2155,576.1807,257.4155
76,671.6838,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,916.4499,712.1619,907.5953,660.2993,639.4278,388.3369,382.0122,184.0489,268.8000,420.5929,437.6696,526.2155,576.1807,257.4155
77,671.6838,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,916.4499,712.1619,907.5953,660.2993,639.4278,388.3369,382.0122,184.0489,268.8000,420.5929,437.6696,526.2155,576.1807,467.3958
78,671.6838,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,916.4499,712.1619,907.5953,660.2993,639.4278,388.3369,382.0122,290.3040,268.8000,420.5929,437.6696,526.2155,576.1807,467.3958
79,671.6838,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,501.5492,916.4499,712.1619,907.5953,660.2993,639.4278,388.3369,382.0122,290.3040,268.8000,420.5929,437.6696,526.2155,576.1807,467.3958
80,671.6838,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,501.5492,916.4499,712.1619,907.5953,660.2993,639.4278,388.3369,382.0122,290.3040,275.1247,420.5929,437.6696,526.2155,576.1807,467.3958
81,671.6838,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,501.5492,916.4499,712.1619,907.5953,660.2993,639.4278,388.3369,382.0122,457.9087,275.1247,420.5929,437.6696,526.2155,576.1807,467.3958
82,671.6838,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,501.5492,916.4499,712.1619,1027.1322,660.2993,639.4278,388.3369,382.0122,457.9087,275.1247,420.5929,437.6696,526.2155,576.1807,467.3958
83,671.6838,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,501.5492,916.4499,712.1619,1027.1322,660.2993,639.4278,388.3369,382.0122,457.9087,275.1247,420.5929,437.6696,776.6739,576.1807,467.3958
84,796.2805,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,501.5492,916.4499,712.1619,1027.1322,660.2993,639.4278,388.3369,382.0122,457.9087,275.1247,420.5929,437.6696,776.6739,576.1807,467.3958
85,796.2805,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,501.5492,916.4499,712.1619,1142.2419,660.2993,639.4278,388.3369,382.0122,457.9087,275.1247,420.5929,437.6696,776.6739,576.1807,467.3958
86,796.2805,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,501.5492,916.4499,712.1619,1142.2419,660.2993,639.4278,388.3369,382.0122,457.9087,275.1247,420.5929,623.6160,776.6739,576.1807,467.3958
87,796.2805,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,501.5492,916.4499,712.1619,1142.2419,660.2993,745.6828,388.3369,382.0122,457.9087,275.1247,420.5929,623.6160,776.6739,576.1807,467.3958
88,796.2805,251.0908,501.5492,136.6136,251.0908,0.0000,443.3619,501.5492,916.4499,712.1619,1261.7788,660.2993,745.6828,388.3369,382.0122,457.9087,275.1247,420.5929,623.6160,776.6739,576.1807,467.3958
89,796.2805,251.0908,550.8819,136.6136,251.0908,0.0000,443.3619,501.5492,916.4499,712.1619,1261.7788,660.2993,745.6828,388.3369,382.0122,457.9087,275.1247,420.5929,623.6160,776.6739,576.1807,467.3958
90,796.2805,251.0908,550.8819,136.6136,251.0908,0.0000,443.3619,501.5492,916.4499,712.1619,1261.7788,660.2993,745.6828,388.3369,382.0122,457.9087,275.1247,420.5929,623.6160,917.7148,576.1807,467.3958
91,796.2805,251.0908,550.8819,136.6136,251.0908,0.0000,443.3619,501.5492,1031.5595,712.1619,1261.7788,660.2993,745.6828,388.3369,382.0122,457.9087,275.1247,420.5929,623.6160,917.7148,576.1807,467.3958
92,796.2805,251.0908,550.8819,136.6136,251.0908,0.0000,443.3619,501.5492,1031.5595,712.1619,1261.7788,786.1609,745.6828,388.3369,382.0122,457.9087,275.1247,420.5929,623.6160,917.7148,576.1807,467.3958
93,796.2805,251.0908,550.8819,136.6136,251.0908,0.0000,443.3619,501.5492,1031.5595,712.1619,1261.7788,786.1609,745.6828,388.3369,382.0122,457.9087,275.1247,420.5929,623.6160,1037.8842,576.1807,467.3958
94,796.2805,251.0908,550.8819,293.4664,251.0908,0.0000,443.3619,501.5492,1031.5595,712.1619,1261.7788,786.1609,745.6828,388.3369,382.0122,457.9087,275.1247,420.5929,623.6160,1037.8842,576.1807,467.3958
95,796.2805,251.0908,675.4786,293.4664,251.0908,0.0000,443.3619,501.5492,1031.5595,712.1619,1261.7788,786.1609,745.6828,388.3369,382.0122,457.9087,275.1247,420.5929,623.6160,1037.8842,576.1807,467.3958
96,796.2805,251.0908,675.4786,293.4664,251.0908,124.5967,443.3619,501.5492,1031.5595,712.1619,1261.7788,786.1609,745.6828,388.3369,382.0122,457.9087,275.1247,420.5929,623.6160,1037.8842,576.1807,467.3958
